Rule ID,Resource ID,Compliance,Exception Reason,Rule Level,Rule Info
"NIST.800.53.R5-VPCDefaultSecurityGroupClosed","GeekweekinfraStack/GWNodeVPC/Resource","Non-Compliant","N/A","Warning","The VPC's default security group allows inbound or outbound traffic - (Control IDs: AC-4(21), AC-17b, AC-17(1), AC-17(1), AC-17(4)(a), AC-17(9), AC-17(10), CM-6a, CM-9b, SC-7a, SC-7c, SC-7(5), SC-7(7), SC-7(11), SC-7(12), SC-7(16), SC-7(21), SC-7(24)(b), SC-7(25), SC-7(26), SC-7(27), SC-7(28))."
"NIST.800.53.R5-VPCFlowLogsEnabled","GeekweekinfraStack/GWNodeVPC/Resource","Non-Compliant","N/A","Error","The VPC does not have an associated Flow Log - (Control IDs: AC-4(26), AU-2b, AU-3a, AU-3b, AU-3c, AU-3d, AU-3e, AU-6(3), AU-6(4), AU-6(6), AU-6(9), AU-8b, AU-12a, AU-12c, AU-12(1), AU-12(2), AU-12(3), AU-12(4), AU-14a, AU-14b, AU-14b, AU-14(3), CA-7b, CM-5(1)(b), CM-6a, CM-9b, IA-3(3)(b), MA-4(1)(a), PM-14a.1, PM-14b, PM-31, SI-4(17), SI-7(8))."
"NIST.800.53.R5-VPCSubnetAutoAssignPublicIpDisabled","GeekweekinfraStack/GWNodeVPC/elb_public_Subnet1/Subnet","Non-Compliant","N/A","Error","The subnet auto-assigns public IP addresses - (Control IDs: AC-2(6), AC-3, AC-3(7), AC-4(21), AC-6, AC-17b, AC-17(1), AC-17(1), AC-17(4)(a), AC-17(9), AC-17(10), MP-2, SC-7a, SC-7b, SC-7c, SC-7(2), SC-7(3), SC-7(7), SC-7(9)(a), SC-7(11), SC-7(12), SC-7(16), SC-7(20), SC-7(21), SC-7(24)(b), SC-7(25), SC-7(26), SC-7(27), SC-7(28), SC-25)."
"NIST.800.53.R5-VPCNoUnrestrictedRouteToIGW","GeekweekinfraStack/GWNodeVPC/elb_public_Subnet1/DefaultRoute","Non-Compliant","N/A","Error","The route table may contain one or more unrestricted route(s) to an IGW ('0.0.0.0/0' or '::/0') - (Control IDs: AC-4(21), CM-7b)."
"NIST.800.53.R5-VPCSubnetAutoAssignPublicIpDisabled","GeekweekinfraStack/GWNodeVPC/elb_public_Subnet2/Subnet","Non-Compliant","N/A","Error","The subnet auto-assigns public IP addresses - (Control IDs: AC-2(6), AC-3, AC-3(7), AC-4(21), AC-6, AC-17b, AC-17(1), AC-17(1), AC-17(4)(a), AC-17(9), AC-17(10), MP-2, SC-7a, SC-7b, SC-7c, SC-7(2), SC-7(3), SC-7(7), SC-7(9)(a), SC-7(11), SC-7(12), SC-7(16), SC-7(20), SC-7(21), SC-7(24)(b), SC-7(25), SC-7(26), SC-7(27), SC-7(28), SC-25)."
"NIST.800.53.R5-VPCNoUnrestrictedRouteToIGW","GeekweekinfraStack/GWNodeVPC/elb_public_Subnet2/DefaultRoute","Non-Compliant","N/A","Error","The route table may contain one or more unrestricted route(s) to an IGW ('0.0.0.0/0' or '::/0') - (Control IDs: AC-4(21), CM-7b)."
"NIST.800.53.R5-VPCSubnetAutoAssignPublicIpDisabled","GeekweekinfraStack/GWNodeVPC/ecs_private_Subnet1/Subnet","Compliant","N/A","Error","The subnet auto-assigns public IP addresses - (Control IDs: AC-2(6), AC-3, AC-3(7), AC-4(21), AC-6, AC-17b, AC-17(1), AC-17(1), AC-17(4)(a), AC-17(9), AC-17(10), MP-2, SC-7a, SC-7b, SC-7c, SC-7(2), SC-7(3), SC-7(7), SC-7(9)(a), SC-7(11), SC-7(12), SC-7(16), SC-7(20), SC-7(21), SC-7(24)(b), SC-7(25), SC-7(26), SC-7(27), SC-7(28), SC-25)."
"NIST.800.53.R5-VPCNoUnrestrictedRouteToIGW","GeekweekinfraStack/GWNodeVPC/ecs_private_Subnet1/DefaultRoute","Compliant","N/A","Error","The route table may contain one or more unrestricted route(s) to an IGW ('0.0.0.0/0' or '::/0') - (Control IDs: AC-4(21), CM-7b)."
"NIST.800.53.R5-VPCSubnetAutoAssignPublicIpDisabled","GeekweekinfraStack/GWNodeVPC/ecs_private_Subnet2/Subnet","Compliant","N/A","Error","The subnet auto-assigns public IP addresses - (Control IDs: AC-2(6), AC-3, AC-3(7), AC-4(21), AC-6, AC-17b, AC-17(1), AC-17(1), AC-17(4)(a), AC-17(9), AC-17(10), MP-2, SC-7a, SC-7b, SC-7c, SC-7(2), SC-7(3), SC-7(7), SC-7(9)(a), SC-7(11), SC-7(12), SC-7(16), SC-7(20), SC-7(21), SC-7(24)(b), SC-7(25), SC-7(26), SC-7(27), SC-7(28), SC-25)."
"NIST.800.53.R5-VPCNoUnrestrictedRouteToIGW","GeekweekinfraStack/GWNodeVPC/ecs_private_Subnet2/DefaultRoute","Compliant","N/A","Error","The route table may contain one or more unrestricted route(s) to an IGW ('0.0.0.0/0' or '::/0') - (Control IDs: AC-4(21), CM-7b)."
